T,H,P,U,FWI,ISI,BUI,FFMC,DMC,DC,FFDI,M68,pM68,M68dwd,pM68dwd,Sharples,FMI,KBDISI,FFWI,FFWImod,Angstroem,Nesterov,EMC,PETthorn,res,res_surf,OrieuxDanger,DFnoble,I87,DFgriffithAdj,DateYYYYMMDD
25.521942,44.034813,0,2.507798,18.797056,6.621817,64.102776,89.85902,43.045876,313.7209,4.9539523,4667.293,4667.293,820.399,820.399,0.61716837,14.628218,20.848163536,10.59904,7.774121,2.3495464,3454.9287,8.125826,5.4567356,66.20806,1,1,6.533869,17.863012,6.2094975,20220719
24.598295,60.126846,10.378172,3.0093546,1.8508275,0.88214856,39.665627,64.23937,23.899782,291.37173,0.9089603,320.02164,320.02164,54.99788,54.99788,0.57375264,18.882137,17.58759246,10.462783,7.6335316,3.246513,0,10.520964,5.216806,74.2836,10,1,1.800653,1.4284449,1.933665,20220720
22.558311,65.8279,1.1273699,2.4276779,3.008491,1.1796371,42.445396,74.8425,25.798485,299.13623,0.9205389,388.26984,388.26984,67.2779,67.2779,0.41982388,20.817398,18.068166556,7.701129,5.6227503,3.7355638,151.57361,11.694707,4.7078323,73.07954,6.4195375,1,3.2231374,1.5159539,2.6939921,20220721
24.333754,56.104683,0.44138542,3.005357,9.138205,3.356115,46.16444,84.41486,28.42047,307.2203,2.8044991,732.39166,732.39166,126.51973,126.51973,0.60298985,17.942732,19.583444196,10.919128,7.9915886,3.071859,378.3027,9.979549,5.1278195,71.02267,3.5691001,1,4.1954365,4.3336005,5.3108077,20220722
22.01916,76.899284,6.6723666,2.705538,0.53079677,0.44588515,30.365961,54.75751,17.406235,297.1754,0.79647905,329.95322,329.95322,63.43864,63.43864,0.41062075,23.720032,14.44871634,6.4551454,4.689481,4.343048,0,14.883546,4.5557275,75.537964,8.615482,1,1.0703291,1.0345938,3.4079156,20220723
24.350565,59.11662,0,2.0224688,2.7721431,1.2862595,34.148514,77.30952,19.849922,305.26254,1.900813,650.94244,650.94244,118.69202,118.69202,0.38952905,18.691513,16.442620404,7.208621,5.2506237,3.2207744,207.07,10.374924,5.106694,72.9663,4.215819,1,2.3598464,2.313333,4.324392,20220724
26.12983,54.326565,0.2578441,3.789563,10.99451,4.750864,38.545975,85.9035,22.77078,313.6699,3.9227881,1070.2024,1070.2024,190.05981,190.05981,0.8001806,17.049183,18.83878376,13.989255,10.226172,2.8033452,467.05273,9.731693,5.5342093,70.532074,2.1405406,1,6.9480786,10.139036,6.1666136,20220725
22.117075,57.07779,0.8075535,3.0124161,8.852931,3.4560282,42.014645,84.62172,25.111185,321.35498,2.9207458,1345.5383,1345.5383,238.19783,238.19783,0.578687,18.74018,20.34593086,10.771483,7.893695,3.342182,663.8879,10.176159,4.5442095,69.20288,1.9753876,1,6.732328,7.1033154,6.1731873,20220726
21.339064,51.196926,0,2.5675395,11.161177,4.2926927,45.74122,86.75583,27.683083,328.9,3.409703,1636.838,1636.838,289.42703,289.42703,0.5292542,17.464466,21.70757025,9.619437,7.0665135,3.12594,887.7681,9.6471815,4.3477664,67.19703,1.1165352,1,6.8105574,11.692332,6.271975,20220727
21.33006,59.771843,0.49990693,2.9256268,12.272773,4.6123037,48.798103,86.804115,29.802235,336.44342,2.6527283,1876.7537,1876.7537,331.62256,331.62256,0.5370738,19.610445,23.05759422,10.122212,7.4548197,3.555586,1061.4496,10.588177,4.3337502,65.7555,1.1325637,1,6.96246,11.368042,6.3676157,20220728
19.206938,80.520676,3.883104,2.6556509,0.80983156,0.58664936,37.7223,58.197193,21.95312,334.78757,1.1492275,1033.3644,1033.3644,187.14714,187.14714,0.37745494,25.328434,24.08204353,5.505989,4.0633006,4.8053403,0,16.358047,3.827069,67.96093,4.5822277,1,3.5443497,1.6769316,6.201065,20220729
21.30567,60.326595,0.046881333,2.6013634,3.6516688,1.4237503,40.90066,77.26436,24.040775,342.32657,2.5935175,1269.4343,1269.4343,228.67413,228.67413,0.474047,19.755232,25.410458704,8.961098,6.6313596,3.5857627,170.43646,10.678147,4.303608,66.05797,2.6570978,1,5.223396,4.254194,6.529016,20220730
23.161446,52.706425,0,2.535985,9.06652,3.3911674,44.901257,85.11436,26.735538,350.19965,3.6307511,1603.1605,1603.1605,286.5844,286.5844,0.52510166,17.386246,27.05216459,9.469946,7.0332007,3.0191767,406.54218,9.692907,4.7272935,63.976128,1.4010097,1,5.9889207,9.9448595,6.6378093,20220731
23.684364,53.618126,0.8656514,2.5449271,9.316658,3.32135,48.370384,84.95136,29.108728,357.46683,3.6429944,1946.2621,1946.2621,345.90747,345.90747,0.5240237,17.48344,28.77871562,9.458408,7.052896,3.01247,642.6943,9.750646,4.836861,62.778824,1.5890121,1,7.240247,8.92877,6.7489715,20220801
22.820618,63.51668,0,1.7415417,8.925416,3.041577,51.008938,85.36977,30.910389,364.57855,2.383363,2195.8606,2195.8606,389.3236,389.3236,0.31077352,20.174017,30.32717201,5.8484626,4.3776436,3.5937724,809.0852,11.1961,4.619009,60.84565,1,1,7.314727,8.021558,6.8459277,20220802
25.389383,52.40206,0,1.641746,11.532968,3.9338636,54.70978,87.32244,33.513344,372.15262,3.8503191,2605.471,2605.471,459.36505,459.36505,0.35278612,16.75317,32.37468506,6.3060293,4.7452354,2.7811646,1074.5522,9.596243,5.2108994,58.73191,1,1,7.420169,10.379411,6.97031,20220803
27.378988,47.479725,0,2.1752741,15.298395,5.3390408,58.99882,88.77881,36.601208,380.08484,5.2104993,3142.249,3142.249,550.07526,550.07526,0.52119076,15.025185,34.87662316,8.885781,6.7328258,2.3360875,1407.3696,8.627975,5.8433805,56.44396,1,1,7.552276,16.696077,7.11664,20220804
25.804794,57.22436,20.839285,3.1805518,1.2002325,0.90413487,28.687086,64.09013,16.19622,313.4804,0.37794638,0,0,0,0,0.64128006,17.854893,21.39803188,11.465652,8.4180155,2.9807386,0,10.061937,5.276484,75.29774,10,1,1.0255015,1.6528405,0.6790413,20220805
17.703228,82.03898,1.2729331,4.2076144,2.2788184,1.2225462,29.844013,67.10971,16.89344,319.671,0.19797894,37.80266,37.80266,8.678463,8.678463,0.580718,26.083939,20.9725641,8.081115,5.928591,5.031626,55.06447,17.040272,3.3981576,74.86485,7.8747754,1,0.9692091,1.3325729,1.0150919,20220806
18.198366,76.26683,0,3.3825016,3.1694257,1.5149812,31.383938,76.13888,17.838987,325.9507,0.68282545,90.25522,90.25522,20.631495,20.631495,0.49667364,24.517117,21.8768041,8.05703,5.920599,4.693505,132.42847,14.849502,3.4970896,73.11945,5.120896,1,2.1891737,1.8431993,3.0681343,20220807
20.487896,60.067375,0,3.8218563,7.60611,3.3529785,34.195393,83.29036,19.618677,332.64252,2.0508454,200.28516,200.28516,40.11251,40.11251,0.6915694,19.894869,23.09248874,13.075578,9.63057,3.6545792,296.64487,10.667056,3.9987063,71.170235,3.0732,1,3.201721,5.027974,4.72646,20220808
21.21594,52.362705,0,4.426646,12.598784,5.724576,37.58832,86.40703,21.813345,339.4654,3.5164735,481.38,481.38,89.59422,89.59422,0.8959467,17.786692,24.41372308,16.311909,12.045968,3.196541,511.84595,9.73106,4.149855,69.201256,1.7978666,1,3.9829736,11.992248,5.775486,20220809
21.08813,49.669533,0,4.601745,15.134259,6.810271,41.083523,87.40548,24.118809,346.26526,4.337558,774.8404,774.8404,141.3042,141.3042,0.966226,17.14535,25.704927,17.760208,13.151134,3.0746634,742.2325,9.145941,4.106814,67.30662,1.0595162,1,4.581437,22.476782,6.4335933,20220810
20.777472,52.567608,0,3.6487534,13.868228,5.7689056,44.285896,87.45398,26.2611,353.0092,3.692652,1043.4617,1043.4617,188.75359,188.75359,0.73188394,17.947535,26.938661896,13.444845,9.982751,3.2506332,951.0668,9.761189,4.022793,65.50154,1,1,5.0466332,17.819407,6.6307836,20220811
20.805,46.915157,0,4.1402245,16.34651,6.775855,47.802433,87.955315,28.661703,359.7581,4.737304,1344.873,1344.873,241.9834,241.9834,0.9018165,16.52754,28.16800564,16.552507,12.324941,2.965258,1195.5076,8.712479,4.014844,63.748356,1,1,5.418196,22.995558,6.71041,20220812
20.300009,49.850723,0,3.8278859,16.30392,6.4474287,51.008533,88.004,30.877272,366.4161,4.143138,1616.3651,1616.3651,290.1252,290.1252,0.7925376,17.387678,29.31411968,14.745737,11.009741,3.1625352,1414.8611,9.195918,3.8882449,62.095894,1,1,5.7191334,19.781185,6.783157,20220813
20.45136,57.980633,0.68908995,2.846532,10.892777,3.7165108,53.70867,85.36948,32.74679,373.10135,2.9266925,1847.1265,1847.1265,330.99408,330.99408,0.52870435,19.382318,30.4746152,10.043459,7.5204396,3.5538955,1589.7184,10.35615,3.9077737,61.16727,1.2983125,1,7.322031,9.888184,6.85539,20220814
19.37803,74.63622,0.67345846,3.378521,8.549577,2.7304995,55.31722,82.303406,33.819073,379.59338,1.6763049,1972.8651,1972.8651,359.17032,359.17032,0.5107246,23.814547,31.479237524,8.503711,6.383899,4.494008,1679.3568,14.249553,3.6576955,60.34919,1.4968878,1,7.3287363,7.5433044,6.9167895,20220815
21.556427,60.335285,0,1.8548003,9.224039,2.8831701,57.970936,84.83253,35.674324,386.47754,2.6284957,2214.4543,2214.4543,401.58643,401.58643,0.33903927,19.694714,32.79206548,6.481683,4.8828783,3.5611215,1852.0818,10.670038,4.1232476,58.690292,1,1,7.4029646,8.650066,6.995483,20220816
22.294996,59.736286,9.694725,3.2824116,1.3885865,0.84310275,34.371338,62.22613,19.515446,359.89062,1.071374,408.077,816.154,73.118744,146.23749,0.6103556,19.360323,29.6385361,11.368909,8.49521,3.4573147,0,10.546272,4.2715025,66.713715,10,1,2.090081,1.4998736,2.381899,20220817
17.957687,86.57266,8.830157,1.8141574,0.01012533,0.011346875,19.506128,33.324974,10.511756,337.82422,0.11294206,131.00002,262.00003,24.907492,49.814983,0.24051808,27.153744,21.6835736,2.8993957,2.129825,5.2328644,0,18.988443,3.3115458,74.07103,10,1,1.1409147,0.4372405,0.8190087,20220818
17.613726,92.97908,9.111902,3.3868673,0.00017241872,0.00028168893,10.271646,20.404291,5.3532186,316.16473,0.05066354,47.39636,94.79272,9.593846,19.187693,0.4227516,28.84134,13.442917742,3.548261,2.5746255,5.5875816,0,22.170113,3.2258286,81.59,10,1,0.74399513,0.71030635,0.40236056,20220819
17.711123,88.24978,5.241213,2.3003042,0.0005941448,0.0012815682,5.91285,25.283398,3.0288231,309.20963,0.034404572,36.59921,73.19842,8.079737,16.159473,0.2996633,27.634665,0.9416838672,3.3172076,2.3884807,5.341377,0,19.785656,3.2340531,85.0721,10,1,0.566245,0.50052315,0.25197417,20220820
19.500502,71.96304,0.015632955,1.4704013,0.15071133,0.27786002,8.16935,52.267986,4.2212048,315.72372,0.08988121,106.91767,213.83534,23.8106,47.6212,0.22899845,23.115635,1.2009395336,4.1320543,2.9752638,4.348102,101.30034,13.417406,3.6017537,83.045006,6.4138794,1,1.3580253,0.681702,0.3808994,20220821
20.1686,62.38858,0,2.110377,0.66220844,1.0298033,11.233675,73.20776,5.8726535,322.35806,0.45772144,207.46448,414.92896,41.65915,83.3183,0.36961126,20.554995,1.308627558,7.08258,5.099834,3.8025692,250.9244,11.08387,3.7305222,80.97967,4.0211673,1,2.0826464,1.8853438,1.3123524,20220822
20.312702,58.984142,0,2.4656723,2.8431664,2.268444,14.523415,82.14217,7.6857867,329.01834,0.954114,318.62146,637.2429,61.3678,122.7356,0.451316,19.66786,1.332691518,8.628677,6.213123,3.6179368,419.131,10.505432,3.7465746,78.95702,2.514607,1,2.6800919,3.8001633,2.367321,20220823
20.257822,61.264072,0,3.5874393,5.7651205,3.8442063,17.559011,84.63741,9.393745,335.66876,1.3489729,423.0549,846.1098,79.89268,159.78535,0.6377178,20.251562,2.647502706,12.074458,8.696233,3.7374215,575.1382,10.876865,3.7199507,76.99892,1.5791856,1,3.1964543,8.560437,3.3150299,20220824
21.184416,68.5631,0,1.7847294,4.5404205,2.7899675,20.090322,84.685005,10.840009,342.48596,1.1359968,515.5326,1031.0652,100.1294,200.2588,0.29412323,21.844671,4.113066196,5.401684,3.8920453,4.0097136,702.6162,12.408519,3.902134,74.99585,1,1,3.6291082,6.3676586,4.0618267,20220825
21.355072,70.70292,9.680412,2.458361,0.26411498,0.3875264,12.45236,53.75766,6.545408,319.15186,0.46974504,216.44904,432.89807,44.153477,88.30695,0.39620873,22.336962,1.516093615,6.985882,5.0303326,4.0996385,0,12.972825,3.9226117,82.715065,10,1,1.651887,0.8164264,1.6793108,20220826
18.601866,86.48343,6.877662,2.0098011,0.008372917,0.016593242,7.069444,34.771236,3.6396384,306.55652,0.10473325,85.18873,170.37746,18.078703,36.157406,0.26826766,26.97039,1.065670462,3.22231,2.3201766,5.163985,0,18.912535,3.3289487,87.757034,10,1,1.0518688,0.46146175,0.72761005,20220827
19.16348,80.34953,0,2.8670661,0.30748177,0.5515585,8.616314,56.88538,4.461679,313.00995,0.21385553,132.89919,265.79837,28.80179,57.60358,0.4080182,25.296513,2.208603406,5.9703054,4.299523,4.801129,66.52593,16.293716,3.4315112,85.749435,6.568489,1,2.248853,1.1242105,1.1035037,20220828
